code,stock_name,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,浦发银行,2023-10-28,2023-09-30,0.039596,12.389205,0.015168,0.978805,0.215277,0.899035,,
sh.600004,白云机场,2023-10-31,2023-09-30,0.015817,1.549732,0.171577,0.940268,0.063264,0.739972,1.029340,0.083059
sh.600006,东风股份,2023-10-28,2023-09-30,0.004565,2.213498,0.506795,0.896470,0.004539,0.632716,-1.949298,-0.003680
sh.600007,中国国贸,2023-10-31,2023-09-30,0.107838,1.373746,0.231043,0.999509,0.339927,0.750856,0.977528,0.463126
sh.600008,首创环保,2023-10-28,2023-09-30,0.045319,3.765655,0.133215,0.752209,0.120102,0.797107,0.640266,0.235327
sh.600009,上海机场,2023-10-31,2023-09-30,0.012465,1.714678,0.115902,0.752329,0.083369,0.864469,0.747009,0.129101
sh.600010,包钢股份,2023-10-27,2023-09-30,0.009010,2.848288,0.356891,11.563793,0.000766,0.115780,0.200782,0.032971
sh.600011,华能国际,2023-10-25,2023-09-30,0.102145,4.163817,0.373573,0.933827,0.070321,0.837378,0.715140,0.117428
sh.600012,皖通高速,2023-10-31,2023-09-30,0.111301,1.782346,0.200828,0.971398,0.320100,0.754474,0.959728,0.442072
sh.600015,华夏银行,2023-10-28,2023-09-30,0.056975,12.700914,0.017766,0.979008,0.257914,0.752997,,
sh.600016,民生银行,2023-10-31,2023-09-30,0.055000,12.103059,0.014387,0.992316,0.318304,0.949597,,
sh.600017,日照港,2023-10-27,2023-09-30,0.050531,2.624781,0.171096,0.883109,0.127411,0.813087,0.706890,0.221676
sh.600018,上港集团,2023-10-31,2023-09-30,0.097546,1.613684,0.145993,0.946300,0.437552,0.869894,0.967797,0.519731
sh.600019,宝钢股份,2023-10-25,2023-09-30,0.042478,1.975151,0.657730,0.863646,0.037860,0.812189,0.935602,0.049823
