code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.300888,稳健医疗,2023-10-24,2023-09-30,2.621194,2.264351,1.845451,0.159330,0.283285,1.395255
sz.300889,爱克股份,2023-10-26,2023-09-30,1.837527,1.575613,0.556594,0.212033,0.422669,1.732109
sz.300890,翔丰华,2023-10-26,2023-09-30,1.280171,0.845189,0.211487,-0.081872,0.547700,2.210920
sz.300891,惠云钛业,2023-10-25,2023-09-30,1.441901,1.094922,0.512353,0.824905,0.475611,1.906980
sz.300892,品渥食品,2023-10-28,2023-09-30,3.852534,2.633583,1.989257,-0.168748,0.207697,1.262143
sz.300893,松原股份,2023-10-24,2023-09-30,2.081457,1.601348,0.254072,0.264681,0.422017,1.730156
sz.300894,火星人,2023-10-30,2023-09-30,2.025695,1.810629,1.640404,0.130507,0.510458,2.042726
sz.300895,铜牛信息,2023-10-25,2023-09-30,5.316914,4.016831,1.719896,-0.462768,0.086506,1.094698
sz.300896,爱美客,2023-10-25,2023-09-30,16.373914,16.247280,14.678400,0.406764,0.050234,1.052891
sz.300897,山科智能,2023-10-24,2023-09-30,2.885478,2.042915,0.561492,0.040190,0.229120,1.297219
sz.300898,熊猫乳品,2023-10-24,2023-09-30,3.861730,3.033411,2.073123,0.109110,0.200380,1.250594
sz.300899,上海凯鑫,2023-10-27,2023-09-30,10.659751,9.358008,7.211580,0.086968,0.092626,1.102082
sz.300900,广联航空,2023-10-26,2023-09-30,1.935971,1.395841,0.395618,1.272258,0.590424,2.441549
sz.300901,中胤时尚,2023-10-25,2023-09-30,4.261682,4.207189,1.962039,-0.061718,0.154523,1.182765
sz.300902,国安达,2023-10-24,2023-09-30,5.859682,4.704517,2.832944,0.166786,0.119326,1.135494
sz.300903,科翔股份,2023-10-27,2023-09-30,0.899682,0.799461,0.269212,0.516422,0.661738,2.956291
sz.300904,威力传动,2023-10-25,2023-09-30,1.964876,1.752519,0.843282,0.015957,0.454282,1.832447
sz.300905,宝丽迪,2023-10-21,2023-09-30,5.029656,4.155720,2.258650,0.676091,0.101293,1.112710
sz.300906,日月明,2023-10-27,2023-09-30,13.903632,13.551908,10.924580,-0.067253,0.080105,1.087080
sz.300907,康平科技,2023-10-25,2023-09-30,1.692807,1.244696,0.577097,0.044130,0.403715,1.677050
sz.300908,仲景食品,2023-10-18,2023-09-30,7.881374,6.499796,5.492577,0.226459,0.093167,1.102739
sz.300909,汇创达,2023-10-28,2023-09-30,2.366780,1.965815,0.796168,1.410090,0.310366,1.450044
