code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sh.600000,浦发银行,2023-10-28,2023-09-30,,,,,0.818326,3.801273,0.818326
sh.600004,白云机场,2023-10-31,2023-09-30,0.152259,0.847741,0.606003,4.504285,0.412354,6.517960,0.412354
sh.600006,东风股份,2023-10-28,2023-09-30,0.756215,0.243785,0.399531,,-0.045100,-9.935550,-0.045100
sh.600007,中国国贸,2023-10-31,2023-09-30,0.325838,0.674162,0.695222,41.536860,0.545291,1.604144,0.545291
sh.600008,首创环保,2023-10-28,2023-09-30,0.241519,0.758481,-0.196315,2.739080,0.137892,1.148127,0.137892
sh.600009,上海机场,2023-10-31,2023-09-30,0.246585,0.753415,0.542903,3.981279,0.256666,3.078665,0.256666
sh.600010,包钢股份,2023-10-27,2023-09-30,0.280179,0.719821,0.321714,1.150808,-0.020784,-27.117069,-0.020784
sh.600011,华能国际,2023-10-25,2023-09-30,0.175060,0.824940,0.202163,3.335966,0.175934,2.501877,0.175934
sh.600012,皖通高速,2023-10-31,2023-09-30,0.246478,0.753522,-0.080790,24.819784,0.517471,1.616593,0.517471
sh.600015,华夏银行,2023-10-28,2023-09-30,,,,,1.717631,6.659706,1.717631
sh.600016,民生银行,2023-10-31,2023-09-30,,,,,1.162111,3.650944,1.162111
sh.600017,日照港,2023-10-27,2023-09-30,0.080193,0.919807,0.171289,3.381136,0.356119,2.795042,0.356119
sh.600018,上港集团,2023-10-31,2023-09-30,0.257718,0.742282,0.521640,24.866526,0.259755,0.593655,0.259755
sh.600019,宝钢股份,2023-10-25,2023-09-30,0.413658,0.586342,0.478315,19.023059,0.051979,1.370950,0.051904
sh.600020,中原高速,2023-10-28,2023-09-30,0.132357,0.867643,-0.203967,2.427825,0.543067,2.294057,0.543067
sh.600021,上海电力,2023-10-28,2023-09-30,0.215382,0.784618,0.110618,2.378121,0.130747,1.306006,0.130747
sh.600022,山东钢铁,2023-10-28,2023-09-30,0.219461,0.780539,0.214570,0.781335,-0.002574,,-0.002574
sh.600023,浙能电力,2023-10-28,2023-09-30,0.305354,0.694646,0.414998,9.949391,0.075139,0.729905,0.075139
sh.600025,华能水电,2023-10-28,2023-09-30,0.032956,0.967044,0.303915,5.093001,0.706575,1.768870,0.706575
sh.600026,中远海能,2023-10-27,2023-09-30,0.143244,0.856756,0.479726,6.804850,0.395250,1.630512,0.395250
sh.600027,华电国际,2023-10-31,2023-09-30,0.131289,0.868711,0.282906,3.063380,0.127302,2.347409,0.127302
sh.600028,中国石化,2023-10-27,2023-09-30,0.299355,0.700645,0.306272,11.716838,0.039802,1.591945,0.039802
sh.600029,南方航空,2023-10-28,2023-09-30,0.097916,0.902084,0.076045,1.513168,0.309471,13.349819,0.309471
sh.600030,中信证券,2023-10-31,2023-09-30,,,,,-1.185332,-3.181107,-1.185332
sh.600031,三一重工,2023-10-31,2023-09-30,0.652928,0.347072,0.387460,,0.091167,1.220224,0.090170
sh.600032,浙江新能,2023-10-27,2023-09-30,0.226817,0.773183,0.223571,2.361797,0.493749,1.945524,0.493749
sh.600033,福建高速,2023-10-31,2023-09-30,0.124427,0.875573,0.654312,40.563761,0.676482,1.541671,0.676482
sh.600035,楚天高速,2023-10-26,2023-09-30,0.149007,0.850993,-0.303995,7.988881,0.632220,1.738549,0.632220
sh.600036,招商银行,2023-10-28,2023-09-30,,,,,0.206117,0.466626,0.206117
sh.600037,歌华有线,2023-10-28,2023-09-30,0.568149,0.431851,0.792375,,0.340535,,0.340535
sh.600038,中直股份,2023-10-25,2023-09-30,0.891339,0.108661,0.292447,,-0.116975,-6.578475,-0.116975
sh.600039,四川路桥,2023-10-31,2023-09-30,0.616942,0.383058,0.045425,5.703860,-0.073738,-0.845053,-0.073738
sh.600048,保利发展,2023-10-28,2023-09-30,0.879857,0.120143,0.129127,8.401670,0.035449,0.403394,0.035440
sh.600050,中国联通,2023-10-25,2023-09-30,0.259512,0.740488,0.185203,,0.240339,3.910447,0.240339
sh.600051,宁波联合,2023-10-26,2023-09-30,0.654917,0.345083,0.539024,2.113111,-0.023032,-2.059739,-0.023032
sh.600052,东望时代,2023-10-28,2023-09-30,0.380188,0.619812,0.751973,,0.507911,2.058988,0.507911
sh.600053,九鼎投资,2023-10-28,2023-09-30,0.666869,0.333131,0.800669,2.587546,-0.162518,-1.471131,-0.162518
sh.600054,黄山旅游,2023-10-28,2023-09-30,0.449707,0.550293,0.716778,1109.738279,0.464869,1.505629,0.464869
sh.600055,万东医疗,2023-10-28,2023-09-30,0.800785,0.199215,0.860495,,0.050567,0.384280,0.050567
sh.600056,中国医药,2023-10-28,2023-09-30,0.761265,0.238735,0.216437,17.582155,-0.011214,-0.426381,-0.011214
sh.600057,厦门象屿,2023-10-31,2023-09-30,0.850861,0.149139,0.132303,1.875863,0.004339,1.096557,0.004339
sh.600058,五矿发展,2023-10-28,2023-09-30,0.887344,0.112656,0.207868,1.510258,-0.030633,-10.233104,-0.030631
sh.600059,古越龙山,2023-10-25,2023-09-30,0.652163,0.347837,0.811810,,-0.030078,-0.259926,-0.030078
sh.600060,海信视像,2023-10-25,2023-09-30,0.775438,0.224562,0.360808,,0.060726,1.240675,0.060726
sh.600061,国投资本,2023-10-28,2023-09-30,0.870780,0.129220,0.144975,11.465915,-9.435784,-5.590355,-1.272487
sh.600062,华润双鹤,2023-10-27,2023-09-30,0.502662,0.497338,0.497118,,0.136533,0.960080,0.136533
sh.600063,皖维高新,2023-10-19,2023-09-30,0.466394,0.533606,0.498942,,0.034394,0.572125,0.034394
sh.600064,南京高科,2023-10-31,2023-09-30,0.479940,0.520060,0.467447,11.399338,-0.343097,-0.865399,-0.342750
sh.600066,宇通客车,2023-10-27,2023-09-30,0.646557,0.353443,0.329996,,0.273189,4.871130,0.273189
sh.600067,冠城新材,2023-10-28,2023-09-30,0.771844,0.228156,0.265585,0.658970,0.179122,,0.179122
sh.600070,*ST富润,2023-10-28,2023-09-30,0.493189,0.506811,0.648707,-53.797025,-1.507101,,-1.507101
sh.600071,凤凰光学,2023-10-28,2023-09-30,0.575620,0.424380,0.179016,-1.372265,0.095412,,0.095412
sh.600072,中船科技,2023-10-31,2023-09-30,0.631597,0.368403,0.198122,1.223203,-0.804586,-58.153585,-0.804586
sh.600073,光明肉业,2023-10-31,2023-09-30,0.577498,0.422502,0.313280,36.772488,0.028576,2.780434,0.028576
sh.600075,新疆天业,2023-10-28,2023-09-30,0.264012,0.735988,0.378307,-2.656984,0.069185,,0.069185
sh.600076,康欣新材,2023-10-25,2023-09-30,0.593698,0.406302,0.380522,-1.417431,-0.795788,,-0.795788
sh.600078,澄星股份,2023-10-28,2023-09-30,0.341350,0.658650,0.228624,0.262077,0.197113,,0.197113
sh.600079,人福医药,2023-10-27,2023-09-30,0.550282,0.449718,0.356601,13.867264,0.053743,0.426331,0.053743
sh.600080,金花股份,2023-10-28,2023-09-30,0.416650,0.583350,0.756602,,-0.029665,-3.524561,-0.029665
sh.600081,东风科技,2023-10-24,2023-09-30,0.675834,0.324166,0.401618,,0.094510,3.075678,0.094510
sh.600082,海泰发展,2023-10-28,2023-09-30,0.882778,0.117222,0.565435,0.174072,0.326397,,0.326397
sh.600083,*ST博信,2023-10-28,2023-09-30,0.257711,0.742289,-0.007253,0.312524,0.003576,,0.003576
sh.600084,中信尼雅,2023-10-27,2023-09-30,0.705644,0.294356,0.903036,,0.253083,5.090153,0.253083
sh.600085,同仁堂,2023-10-31,2023-09-30,0.780328,0.219672,0.395534,,0.174497,1.101701,0.174497
sh.600088,中视传媒,2023-10-28,2023-09-30,0.440262,0.559738,0.636594,,-0.381431,-0.557708,-0.381431
sh.600089,特变电工,2023-10-28,2023-09-30,0.432525,0.567475,0.242582,17.271353,0.218419,1.267247,0.218237
sh.600094,大名城,2023-10-24,2023-09-30,0.737019,0.262981,0.439522,15.763020,0.118271,1.862336,0.118271
sh.600095,湘财股份,2023-10-28,2023-09-30,0.802368,0.197632,0.295826,3.929130,-1.738171,-6.010798,-0.475553
sh.600096,云天化,2023-10-28,2023-09-30,0.375210,0.624790,0.211881,10.348034,0.131817,1.576531,0.131817
sh.600097,开创国际,2023-10-28,2023-09-30,0.440620,0.559380,0.555769,1.833571,-0.061990,-3.720288,-0.061990
sh.600098,广州发展,2023-10-31,2023-09-30,0.235450,0.764550,0.301492,5.011054,0.082721,1.614943,0.082640
sh.600099,林海股份,2023-10-28,2023-09-30,0.808325,0.191675,0.548628,,0.166154,7.544022,0.166154
sh.600100,同方股份,2023-10-28,2023-09-30,0.547882,0.452118,0.179318,0.313310,-0.088140,,-0.088140
sh.600101,明星电力,2023-10-27,2023-09-30,0.329416,0.670584,0.624979,,0.202079,2.206375,0.202079
sh.600103,青山纸业,2023-10-24,2023-09-30,0.618412,0.381588,0.608787,19.804511,0.056209,1.045362,0.056209
sh.600104,上汽集团,2023-10-27,2023-09-30,0.603031,0.396969,0.243151,115.650699,0.041533,1.261026,0.040313
sh.600105,永鼎股份,2023-10-27,2023-09-30,0.471590,0.528410,0.310537,2.189081,0.026510,0.789761,0.026510
sh.600106,重庆路桥,2023-10-31,2023-09-30,0.285013,0.714987,0.696942,17.889127,1.489543,0.782407,1.489543
sh.600107,美尔雅,2023-10-28,2023-09-30,0.695038,0.304962,0.391706,2.777170,-0.371674,,-0.371674
sh.600108,亚盛集团,2023-10-28,2023-09-30,0.472360,0.527640,0.135359,1.498687,0.002460,0.119491,0.002460
sh.600109,国金证券,2023-10-31,2023-09-30,,,,,-1.365422,-5.399080,-1.365422
sh.600110,诺德股份,2023-10-26,2023-09-30,0.457928,0.542072,0.382515,1.628637,-0.118477,-8.065034,-0.118477
sh.600111,北方稀土,2023-10-24,2023-09-30,0.740464,0.259536,0.469077,15.889860,0.086813,1.387470,0.086813
sh.600113,浙江东日,2023-10-30,2023-09-30,0.509248,0.490752,0.464733,,0.114061,0.658249,0.114061
sh.600114,东睦股份,2023-10-31,2023-09-30,0.372685,0.627315,0.212132,2.276528,0.065834,1.878045,0.065834
sh.600115,中国东航,2023-10-28,2023-09-30,0.090953,0.909047,0.007931,0.249777,0.307396,,0.307396
sh.600116,三峡水利,2023-10-26,2023-09-30,0.221079,0.778921,0.291025,3.365345,0.061677,1.591914,0.061677
sh.600117,西宁特钢,2023-10-28,2023-09-30,0.346320,0.653680,-0.190982,-4.215345,0.029858,,0.029858
sh.600118,中国卫星,2023-10-31,2023-09-30,0.771110,0.228890,0.317124,,-0.267548,-4.499536,-0.267548
sh.600119,长江投资,2023-10-28,2023-09-30,0.780219,0.219781,0.187034,,-0.095439,,-0.095439
sh.600120,浙江东方,2023-10-28,2023-09-30,0.433806,0.566194,0.372620,6.752687,-0.021180,-0.920116,-0.017917
sh.600121,郑州煤电,2023-10-28,2023-09-30,0.345584,0.654416,0.078635,1.581732,0.047142,13.053510,0.047142
sh.600123,兰花科创,2023-10-28,2023-09-30,0.311236,0.688764,0.335496,23.918609,0.279410,1.391545,0.279410
sh.600125,铁龙物流,2023-10-31,2023-09-30,0.476171,0.523829,0.684856,261.124004,0.011152,0.259805,0.011152
sh.600126,杭钢股份,2023-10-28,2023-09-30,0.569351,0.430649,0.535862,,-0.001184,-0.540881,-0.001184
sh.600127,金健米业,2023-10-31,2023-09-30,0.606312,0.393688,0.313439,3.790589,0.067400,11.171593,0.067400
sh.600128,苏豪弘业,2023-10-31,2023-09-30,0.539642,0.460358,0.356065,,-0.005584,-0.562193,-0.005584
sh.600129,太极集团,2023-10-27,2023-09-30,0.526898,0.473102,0.167610,10.448723,-0.039107,-0.620973,-0.039107
sh.600130,波导股份,2023-10-31,2023-09-30,0.790550,0.209450,0.836354,,0.185120,2.583482,0.185120
sh.600131,国网信通,2023-10-28,2023-09-30,0.785063,0.214937,0.401872,,-0.140233,-1.613105,-0.140233
sh.600132,重庆啤酒,2023-10-31,2023-09-30,0.522806,0.477194,0.001480,,0.285394,1.372592,0.285394
sh.600133,东湖高新,2023-10-31,2023-09-30,0.709980,0.290020,0.137749,5.295968,-0.187637,-6.122069,-0.187637
sh.600135,乐凯胶片,2023-10-27,2023-09-30,0.701431,0.298569,0.752831,,0.029951,8.619334,0.029951
sh.600136,ST明诚,2023-10-28,2023-09-30,0.538435,0.461565,-3.639431,-12.603533,-0.051603,,-0.051603
sh.600137,浪莎股份,2023-10-31,2023-09-30,0.773893,0.226108,0.754718,,-0.204001,-4.258049,-0.204001
sh.600138,中青旅,2023-10-31,2023-09-30,0.375068,0.624932,0.243237,3.272066,0.093834,2.035077,0.093834
sh.600141,兴发集团,2023-10-28,2023-09-30,0.185058,0.814942,0.366176,6.569507,0.039644,0.888221,0.039644
sh.600143,金发科技,2023-10-25,2023-09-30,0.378335,0.621665,0.197472,1.882826,0.091216,8.137647,0.091216
sh.600148,长春一东,2023-10-27,2023-09-30,0.820347,0.179653,0.317459,0.849934,-0.200230,,-0.200230
sh.600149,廊坊发展,2023-10-28,2023-09-30,0.203860,0.796140,0.112228,-3.628465,-0.571476,,-0.571476
sh.600150,中国船舶,2023-10-31,2023-09-30,0.750005,0.249995,0.236082,,0.211195,4.090442,0.211195
