code(股票代码),stock_name(股票名称),pubDate(发布日期),statDate(统计截止日),roeAvg(平均净资产收益率),npMargin(净利率),gpMargin(毛利率),netProfit(净利润),epsTTM(每股收益(TTM)),MBRevenue(主营业务收入),totalShare(总股本),liqaShare(流通股本)
sh.600000,浦发银行,2024-10-31,2024-09-30,0.048669,0.274856,,35687000000.0,1.496959,,29352177607.0,29352177607.0
sh.600004,白云机场,2024-10-31,2024-09-30,0.037446,0.131564,0.270551,697351127.95,0.353136,,2366718283.0,2366718283.0
sh.600006,东风股份,2024-10-31,2024-09-30,-0.013943,-0.014261,0.030254,-113781148.41,0.024046,,2000000000.0,2000000000.0
sh.600007,中国国贸,2024-10-31,2024-09-30,0.106608,0.345444,0.605136,1019214071.0,1.266309,,1007282534.0,1007282534.0
sh.600008,首创环保,2024-10-30,2024-09-30,0.107333,0.266368,0.354006,3693440052.57,0.487802,,7340590677.0,7340590677.0
sh.600009,上海机场,2024-10-31,2024-09-30,0.029553,0.15566,0.225601,1430649327.85,0.658583,,2488481340.0,1926958448.0
sh.600010,包钢股份,2024-10-31,2024-09-30,-0.010009,-0.013944,0.078771,-695344008.22,-0.010485,,45404942248.0,31497121187.0
sh.600011,华能国际,2024-10-30,2024-09-30,0.077178,0.072432,0.160256,13356170159.0,0.400995,,15698093359.0,10997709919.0
sh.600012,皖通高速,2024-10-29,2024-09-30,0.095627,0.245967,0.355954,1240523047.72,0.922611,,1658610000.0,1165600000.0
sh.600015,华夏银行,2024-10-31,2024-09-30,0.055229,0.26572,,18902000000.0,1.691431,,15914928468.0,15387223983.0
sh.600016,民生银行,2024-10-31,2024-09-30,0.048487,0.302144,,30716000000.0,0.747606,,43782418502.0,35462123213.0
sh.600017,日照港,2024-10-30,2024-09-30,0.046964,0.116866,0.253642,733425240.52,0.192873,,3075653888.0,3075653888.0
sh.600018,上港集团,2024-10-31,2024-09-30,0.09298,0.438202,0.376036,12719376876.94,0.586436,,23284144750.0,23214577754.0
