code,stock_name,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.603326,我乐家居,2024-10-30,2024-09-30,0.069247,2.001165,0.443599,1.000000,0.078006,0.755473,0.938799,0.109986
sh.603327,福蓉科技,2024-10-30,2024-09-30,0.073254,1.692386,0.527158,1.000000,0.082109,0.842753,0.903474,0.107839
sh.603328,依顿电子,2024-10-30,2024-09-30,0.094615,1.351622,0.500571,1.000000,0.139842,0.850251,1.035462,0.158838
sh.603329,上海雅仕,2024-10-29,2024-09-30,0.029366,2.415191,1.147324,1.058488,0.010012,0.680871,0.727443,0.020214
sh.603330,天洋新材,2024-10-29,2024-09-30,-0.016448,1.664074,0.341632,1.091304,-0.026511,1.734712,3.020378,-0.005060
sh.603331,百达精工,2024-10-29,2024-09-30,0.016794,2.501473,0.348251,2.339785,0.008239,8.764519,0.044103,0.021315
sh.603332,苏州龙杰,2024-10-29,2024-09-30,0.046041,1.190749,0.837074,1.000000,0.046192,0.927351,1.075411,0.046317
sh.603333,尚纬股份,2024-10-16,2024-09-30,0.008955,1.548739,0.364475,1.007803,0.015741,0.905952,0.610098,0.028479
sh.603335,迪生力,2024-10-29,2024-09-30,-0.186724,4.084330,0.537281,0.809649,-0.105095,0.788104,1.252961,-0.106429
sh.603336,宏辉果蔬,2024-10-29,2024-09-30,0.016709,1.612086,0.388320,1.092643,0.024428,0.987158,0.462813,0.053468
sh.603337,杰克股份,2024-10-29,2024-09-30,0.139034,1.831430,0.576818,0.985965,0.133485,0.900789,1.018877,0.145441
sh.603338,浙江鼎力,2024-10-30,2024-09-30,0.155204,1.567258,0.415918,0.999084,0.238316,0.858204,1.064846,0.260781
sh.603339,四方科技,2024-10-30,2024-09-30,0.073868,1.325327,0.434517,1.000000,0.128271,0.861657,0.958655,0.155285
sh.603341,龙旗科技,2024-10-30,2024-09-30,0.092118,4.931056,1.514115,1.012757,0.012183,0.932829,1.120460,0.011656
sh.603344,星德胜,2024-10-31,2024-09-30,0.091942,1.495320,0.795856,1.000000,0.077258,0.868752,1.040848,0.085440
sh.603345,安井食品,2024-10-29,2024-09-30,0.082437,1.330374,0.655513,0.985935,0.095878,0.764204,1.043803,0.120197
sh.603348,文灿股份,2024-10-29,2024-09-30,0.026286,2.239534,0.567897,1.000000,0.020668,0.664256,0.648664,0.047967
