code,stock_name,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.300256,星星科技,2024-10-25,2024-09-30,-0.093049,-0.149980,0.104077,-128702768.810000,-0.177491,,2268393386.00,1643393386.00
sz.300257,开山股份,2024-10-24,2024-09-30,0.035179,0.070997,0.329159,220797256.810000,0.308328,,993635018.00,954556716.00
sz.300258,精锻科技,2024-10-22,2024-09-30,0.030825,0.078970,0.250586,115868741.310000,0.343759,,481777232.00,462731927.00
sz.300259,新天科技,2024-10-24,2024-09-30,0.040091,0.194533,0.448256,115499650.830000,0.165124,,1169801516.00,1169533231.00
sz.300260,新莱应材,2024-10-25,2024-09-30,0.106794,0.091521,0.250013,197822347.540000,0.651258,,407806752.00,287636945.00
sz.300261,雅本化学,2024-10-24,2024-09-30,-0.025027,-0.059253,0.161476,-55695104.000000,-0.223886,,963309471.00,936067477.00
sz.300263,隆华科技,2024-10-29,2024-09-30,0.048013,0.087848,0.239192,169563829.160000,0.115417,,904348130.00,748526132.00
sz.300264,佳创视讯,2024-10-24,2024-09-30,-0.484289,-0.426385,0.116296,-33142483.060000,-0.123719,,430857518.00,370388029.00
sz.300265,通光线缆,2024-10-26,2024-09-30,0.022937,0.029706,0.165296,56563004.140000,0.124929,,458288966.00,457989341.00
sz.300266,兴源环境,2024-10-29,2024-09-30,-0.764519,-0.239643,0.139836,-167981069.400000,-0.568907,,1553807314.00,1553240164.00
sz.300267,尔康制药,2024-10-25,2024-09-30,-0.005327,-0.031476,0.309418,-26889704.700000,-0.126473,,2062604870.00,1422396841.00
sz.300268,ST佳沃,2024-10-25,2024-09-30,-20.282245,-0.287898,-0.095011,-756119688.180000,-6.609568,,174200000.00,133632302.00
sz.300269,联建光电,2024-10-25,2024-09-30,-0.099020,-0.014673,0.282833,-6890154.750000,-0.075277,,549113825.00,525665653.00
sz.300270,中威电子,2024-10-26,2024-09-30,-0.078471,-0.478091,0.262566,-51877604.050000,-0.234779,,302806028.00,256463473.00
sz.300271,华宇软件,2024-10-26,2024-09-30,-0.062942,-0.298870,0.332580,-281553570.680000,-1.602437,,816275473.00,801731554.00
sz.300272,开能健康,2024-10-29,2024-09-30,0.065982,0.087432,0.402641,109643066.890000,0.151231,,577217911.00,431120454.00
sz.300274,阳光电源,2024-10-31,2024-09-30,0.245677,0.154688,0.313177,7726038958.270000,4.734750,,2073211424.00,1590001149.00
sz.300275,梅安森,2024-10-30,2024-09-30,0.053701,0.132271,0.441039,46549571.200000,0.182460,,304342008.00,254694312.00
sz.300276,三丰智能,2024-10-29,2024-09-30,0.009618,0.014822,0.143112,22263466.300000,0.000401,,1401042990.00,1020769922.00
sz.300277,海联讯,2024-10-24,2024-09-30,0.009256,0.051805,0.228465,6781189.830000,0.024891,,335000000.00,334372300.00
sz.300278,华昌达,2024-10-30,2024-09-30,0.044270,0.038229,0.134422,77575854.480000,0.060843,,1421506508.00,1366622402.00
sz.300279,和晶科技,2024-10-24,2024-09-30,0.055964,0.033494,0.177537,52487509.650000,0.115288,,489099490.00,458098684.00
sz.300280,紫天科技,2024-10-30,2024-09-30,0.006936,0.006994,0.039614,8255725.890000,-8.680975,,162065744.00,160474169.00
sz.300281,金明精机,2024-10-30,2024-09-30,0.011196,0.038844,0.161262,14327811.430000,0.022751,,418923580.00,397325912.00
sz.300283,温州宏丰,2024-10-24,2024-09-30,-0.013359,-0.013050,0.096212,-28834425.170000,-0.087014,,437206334.00,307446614.00
sz.300284,苏交科,2024-10-29,2024-09-30,0.018354,0.053228,0.316422,155125816.760000,0.201307,,1262827774.00,1194447684.00
sz.300285,国瓷材料,2024-10-29,2024-09-30,0.074768,0.182055,0.396467,540017272.910000,0.612314,,997048299.00,803949847.00
sz.300286,安科瑞,2024-10-25,2024-09-30,0.117628,0.194147,0.462389,158376529.140000,0.866214,,214716125.00,175573399.00
sz.300287,飞利信,2024-10-29,2024-09-30,-0.093927,-0.288250,0.197799,-124415654.470000,-0.181557,,1435273808.00,1310750881.00
sz.300288,朗玛信息,2024-10-30,2024-09-30,0.025256,0.146105,0.365623,43572464.080000,0.168990,,337941402.00,256569391.00
sz.300289,利德曼,2024-10-26,2024-09-30,0.000616,0.012361,0.541595,3483549.680000,-0.013525,,544011487.00,543156487.00
sz.300290,荣科科技,2024-10-25,2024-09-30,-0.008047,0.002649,0.395880,1258376.600000,0.018376,,639732569.00,639222344.00
sz.300291,百纳千成,2024-10-26,2024-09-30,-0.015214,-0.225537,-0.020269,-150602241.240000,-0.221344,,941889651.00,928978719.00
sz.300292,吴通控股,2024-10-28,2024-09-30,0.060067,0.025459,0.106756,83249720.390000,0.035057,,1341764974.00,1115944813.00
sz.300293,蓝英装备,2024-10-25,2024-09-30,-0.002707,-0.002567,0.281679,-2486726.320000,-0.056059,,338438106.00,280335917.00
