code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sh.600000,浦发银行,2024-10-31,2024-09-30,,,,0.074343,0.009224,12.881699
sh.600004,白云机场,2024-10-31,2024-09-30,0.947253,0.927993,0.708458,-0.045642,0.003211,1.473053
sh.600006,东风股份,2024-10-31,2024-09-30,1.634962,1.377268,0.563549,-0.162399,0.004999,1.999638
sh.600007,中国国贸,2024-10-31,2024-09-30,2.511830,2.491706,2.319320,-0.169376,0.002235,1.287841
sh.600008,首创环保,2024-10-30,2024-09-30,1.007768,0.961930,0.168012,0.049898,0.006372,2.756393
sh.600009,上海机场,2024-10-31,2024-09-30,1.981560,1.975985,1.661267,-0.035945,0.003825,1.619418
sh.600010,包钢股份,2024-10-31,2024-09-30,0.577976,0.333744,0.129521,0.004404,0.006030,2.519015
sh.600011,华能国际,2024-10-30,2024-09-30,0.630835,0.569532,0.175834,-0.005074,0.006434,2.804055
sh.600012,皖通高速,2024-10-29,2024-09-30,2.025775,2.024117,1.841358,0.033115,0.003687,1.583931
sh.600015,华夏银行,2024-10-31,2024-09-30,,,,0.052310,0.009182,12.230049
sh.600016,民生银行,2024-10-31,2024-09-30,,,,0.023813,0.009160,11.911096
sh.600017,日照港,2024-10-30,2024-09-30,0.364229,0.342970,0.160603,0.041565,0.005956,2.472853
sh.600018,上港集团,2024-10-31,2024-09-30,2.516073,2.077361,1.676732,0.058504,0.003107,1.450703
sh.600019,宝钢股份,2024-10-30,2024-09-30,1.171101,0.813309,0.209399,-0.072716,0.004051,1.680955
sh.600020,中原高速,2024-10-30,2024-09-30,1.230139,0.332317,0.087299,0.033089,0.007046,3.385205
sh.600021,上海电力,2024-10-29,2024-09-30,0.835588,0.818988,0.171590,0.063816,0.007003,3.337144
sh.600022,山东钢铁,2024-10-31,2024-09-30,0.488888,0.332572,0.213327,0.037778,0.005664,2.306066
sh.600023,浙能电力,2024-10-30,2024-09-30,1.130094,0.995256,0.526705,-0.002994,0.004392,1.783133
sh.600025,华能水电,2024-10-30,2024-09-30,0.232713,0.230912,0.104607,0.033514,0.006194,2.627219
sh.600026,中远海能,2024-10-31,2024-09-30,1.088140,0.939860,0.535584,0.032905,0.004837,1.936818
sh.600027,华电国际,2024-10-31,2024-09-30,0.460075,0.410908,0.092894,0.001753,0.006174,2.613675
sh.600028,中国石化,2024-10-29,2024-09-30,0.855864,0.471807,0.244578,-0.008431,0.005345,2.148296
sh.600029,南方航空,2024-10-29,2024-09-30,0.234950,0.220376,0.103877,0.048551,0.008242,5.687091
sh.600030,中信证券,2024-10-30,2024-09-30,,,,0.257249,0.008314,5.931296
sh.600031,三一重工,2024-10-31,2024-09-30,1.689649,1.337597,0.473457,-0.089245,0.005187,2.077572
sh.600032,浙江新能,2024-10-29,2024-09-30,1.540217,1.538686,0.347112,0.084356,0.006574,2.919266
sh.600033,福建高速,2024-10-31,2024-09-30,1.749677,1.741063,1.155196,0.003455,0.001801,1.219681
sh.600035,楚天高速,2024-10-30,2024-09-30,0.261784,0.241295,0.153967,0.008528,0.004972,1.988802
sh.600036,招商银行,2024-10-30,2024-09-30,,,,0.087953,0.009005,10.050372
sh.600037,歌华有线,2024-10-31,2024-09-30,5.313849,5.202854,4.707888,-0.055466,0.001814,1.221589
sh.600038,中直股份,2024-10-30,2024-09-30,1.383152,0.860832,0.190568,0.729289,0.006908,3.233948
sh.600039,四川路桥,2024-10-31,2024-09-30,1.207918,1.143042,0.143888,0.102795,0.007955,4.889761
sh.600048,保利发展,2024-10-29,2024-09-30,1.638327,0.502069,0.174454,-0.067949,0.007489,3.982405
sh.600050,中国联通,2024-10-23,2024-09-30,0.682589,0.666546,0.291922,-0.015642,0.004499,1.818011
sh.600051,宁波联合,2024-10-29,2024-09-30,2.156234,1.246967,0.683107,-0.309989,0.003085,1.446115
sh.600052,东望时代,2024-10-31,2024-09-30,7.087689,6.573059,2.832466,-0.350427,0.000963,1.106502
sh.600053,九鼎投资,2024-10-31,2024-09-30,7.858378,1.591609,0.998851,-0.280513,0.001094,1.122841
sh.600054,黄山旅游,2024-10-31,2024-09-30,4.851563,3.877905,3.425470,-0.129740,0.001522,1.179509
sh.600055,万东医疗,2024-10-26,2024-09-30,10.127853,9.480306,7.761381,-0.067718,0.000908,1.099876
sh.600056,中国医药,2024-10-26,2024-09-30,1.450318,1.107300,0.135929,-0.028932,0.006280,2.688519
sh.600057,厦门象屿,2024-10-31,2024-09-30,1.248723,0.987641,0.253670,0.046859,0.007163,3.524266
sh.600058,五矿发展,2024-10-31,2024-09-30,1.283653,1.035216,0.109101,-0.095890,0.007230,3.610337
sh.600059,古越龙山,2024-10-26,2024-09-30,6.865669,3.673231,3.240183,-0.270121,0.000920,1.101301
sh.600060,海信视像,2024-10-30,2024-09-30,1.981766,1.679807,0.904738,-0.029773,0.004212,1.727636
sh.600061,国投资本,2024-10-31,2024-09-30,1.288770,1.288576,0.845431,-0.140854,0.007908,4.779451
sh.600062,华润双鹤,2024-10-26,2024-09-30,1.594429,1.257652,0.592330,0.614511,0.003419,1.519491
sh.600063,皖维高新,2024-10-26,2024-09-30,0.841874,0.694780,0.297318,0.032409,0.004594,1.849962
sh.600064,南京高科,2024-10-24,2024-09-30,1.292366,0.474204,0.223204,0.032849,0.004825,1.932338
sh.600066,宇通客车,2024-10-29,2024-09-30,1.430544,1.134896,0.663100,-0.004213,0.005675,2.312279
sh.600067,冠城新材,2024-10-30,2024-09-30,1.296071,0.431721,0.070342,-0.260018,0.006065,2.541446
sh.600070,*ST富润,2024-10-31,2024-09-30,0.756263,0.750713,0.094572,0.032911,0.004756,1.906769
sh.600071,凤凰光学,2024-10-29,2024-09-30,0.824102,0.625771,0.126460,-0.133602,0.007096,3.443928
sh.600072,中船科技,2024-10-31,2024-09-30,1.677965,1.338604,0.440319,0.023667,0.007670,4.291036
sh.600073,光明肉业,2024-10-31,2024-09-30,1.320002,0.912663,0.585786,-0.132095,0.004714,1.891875
sh.600075,新疆天业,2024-10-23,2024-09-30,0.575771,0.407176,0.304042,-0.080705,0.005480,2.212455
sh.600076,康欣新材,2024-10-29,2024-09-30,2.387053,0.187459,0.079160,0.031403,0.003742,1.598014
sh.600078,澄星股份,2024-10-31,2024-09-30,1.304210,0.957322,0.297851,0.055492,0.005787,2.373831
sh.600079,人福医药,2024-10-30,2024-09-30,1.492477,1.206723,0.346968,-0.044664,0.004372,1.776685
sh.600080,金花股份,2024-10-30,2024-09-30,2.279170,2.188466,1.102896,-0.085000,0.001829,1.223783
sh.600081,东风科技,2024-10-25,2024-09-30,1.577414,1.463491,0.802411,-0.138707,0.004394,1.783792
sh.600082,海泰发展,2024-10-31,2024-09-30,2.190803,0.348193,0.115276,-0.032369,0.004115,1.699154
sh.600083,*ST博信,2024-10-31,2024-09-30,0.496595,0.495015,0.049055,-0.147870,0.008999,9.993121
sh.600084,中信尼雅,2024-10-26,2024-09-30,8.313679,1.057439,0.562283,0.010962,0.001095,1.122982
sh.600085,同仁堂,2024-10-30,2024-09-30,2.862023,1.578034,1.301709,0.118566,0.003435,1.523340
sh.600088,中视传媒,2024-10-30,2024-09-30,2.652486,1.728399,1.491575,-0.108361,0.002168,1.276890
sh.600089,特变电工,2024-10-30,2024-09-30,1.254595,1.018532,0.331772,0.095245,0.005680,2.314785
sh.600094,大名城,2024-10-30,2024-09-30,1.973436,0.302680,0.175330,-0.379716,0.004005,1.667973
sh.600095,湘财股份,2024-10-26,2024-09-30,1.286013,1.285393,0.892053,0.215529,0.007076,3.420085
sh.600096,云天化,2024-10-15,2024-09-30,1.140045,0.783741,0.484413,-0.235180,0.005251,2.105568
sh.600097,开创国际,2024-10-30,2024-09-30,3.084235,1.769922,1.052327,-0.207318,0.003071,1.443289
sh.600098,广州发展,2024-10-31,2024-09-30,0.939942,0.844414,0.258654,0.217252,0.006239,2.658843
sh.600099,林海股份,2024-10-26,2024-09-30,1.502976,1.204139,0.368901,0.408248,0.005013,2.005175
sh.600100,同方股份,2024-10-30,2024-09-30,1.367816,0.909516,0.323649,-0.176216,0.006039,2.524899
sh.600101,明星电力,2024-10-30,2024-09-30,1.386923,1.358152,1.159372,-0.060819,0.002863,1.401214
sh.600103,青山纸业,2024-10-29,2024-09-30,2.178659,1.828977,1.231980,0.049466,0.002897,1.407940
sh.600104,上汽集团,2024-10-31,2024-09-30,1.208096,1.029411,0.468786,-0.006673,0.006333,2.727106
sh.600105,永鼎股份,2024-10-26,2024-09-30,0.929957,0.751116,0.282565,0.048078,0.006185,2.621152
