code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.300902,国安达,2024-10-25,2024-09-30,0.630332,0.369668,0.849499,,-0.057105,,-0.057105
sz.300903,科翔股份,2024-10-30,2024-09-30,0.502330,0.497670,0.212554,-8.743936,-0.048751,,-0.048751
sz.300904,威力传动,2024-10-29,2024-09-30,0.406834,0.593166,0.355504,2.830953,-0.020011,-0.409114,-0.020011
sz.300905,宝丽迪,2024-10-23,2024-09-30,0.486727,0.513273,0.747131,,0.085470,1.090528,0.085470
sz.300906,日月明,2024-10-30,2024-09-30,0.925908,0.074092,0.894085,,0.273361,0.568121,0.273361
sz.300907,康平科技,2024-10-24,2024-09-30,0.707950,0.292050,0.479083,51.659930,0.084039,1.087956,0.084039
sz.300908,仲景食品,2024-10-18,2024-09-30,0.560533,0.439467,0.846545,,0.223936,1.259448,0.223936
sz.300909,汇创达,2024-10-29,2024-09-30,0.491192,0.508808,0.607466,24.552286,0.254335,3.518276,0.254335
sz.300910,瑞丰新材,2024-10-23,2024-09-30,0.611547,0.388453,0.723054,,0.111970,0.512847,0.111970
sz.300911,亿田智能,2024-10-24,2024-09-30,0.680973,0.319027,0.607430,-7.507791,-0.013602,,-0.013602
sz.300912,凯龙高科,2024-10-25,2024-09-30,0.460457,0.539543,0.397786,-18.404174,-0.034221,,-0.034221
sz.300913,兆龙互连,2024-10-30,2024-09-30,0.633280,0.366720,0.799836,,0.049799,0.742746,0.049799
sz.300915,海融科技,2024-10-30,2024-09-30,0.650237,0.349763,0.862777,,0.043550,0.381537,0.043550
sz.300916,朗特智能,2024-10-25,2024-09-30,0.888993,0.111007,0.715851,,0.116597,1.365524,0.116597
sz.300917,特发服务,2024-10-25,2024-09-30,0.910039,0.089961,0.523364,,0.024432,0.543722,0.024432
sz.300918,南山智尚,2024-10-29,2024-09-30,0.367610,0.632390,0.404303,6.270404,0.026983,0.252255,0.026983
sz.300919,中伟股份,2024-10-30,2024-09-30,0.479706,0.520294,0.233873,3.271410,0.095086,1.741527,0.095086
sz.300920,润阳科技,2024-10-29,2024-09-30,0.521051,0.478949,0.788381,,0.072372,1.603681,0.072372
sz.300921,南凌科技,2024-10-30,2024-09-30,0.870394,0.129606,0.822148,18.381272,0.012432,1.174403,0.012432
sz.300922,天秦装备,2024-10-26,2024-09-30,0.626616,0.373384,0.868172,,0.177482,0.979791,0.177482
sz.300923,研奥股份,2024-10-25,2024-09-30,0.796854,0.203146,0.847151,,-0.058813,-0.876478,-0.058813
sz.300925,法本信息,2024-10-29,2024-09-30,0.945574,0.054426,0.729249,,-0.035831,-1.033071,-0.035831
sz.300926,博俊科技,2024-10-29,2024-09-30,0.566933,0.433067,0.265765,9.458966,-0.015507,-0.120712,-0.015507
sz.300927,江天化学,2024-10-22,2024-09-30,0.473866,0.526134,0.425686,,0.035242,0.541086,0.035242
sz.300928,华安鑫创,2024-10-30,2024-09-30,0.576021,0.423979,0.824154,,-0.088599,,-0.088599
sz.300929,华骐环保,2024-10-24,2024-09-30,0.380673,0.619327,0.292442,0.012463,-0.190551,,-0.190551
sz.300930,屹通新材,2024-10-24,2024-09-30,0.290946,0.709054,0.646714,58.365567,-0.414116,-3.604194,-0.414116
sz.300931,通用电梯,2024-10-24,2024-09-30,0.725719,0.274281,0.579406,,0.046761,2.329406,0.046761
sz.300932,三友联众,2024-10-24,2024-09-30,0.501358,0.498642,0.460925,10.523635,0.037123,1.159215,0.037123
sz.300933,中辰股份,2024-10-30,2024-09-30,0.838663,0.161337,0.368245,1.878485,-0.091905,-4.046091,-0.091905
sz.300935,盈建科,2024-10-29,2024-09-30,0.906159,0.093841,0.901386,,-0.573466,,-0.573466
sz.300936,中英科技,2024-10-29,2024-09-30,0.663877,0.336123,0.896650,,0.167636,1.257070,0.167636
sz.300937,药易购,2024-10-25,2024-09-30,0.811960,0.188040,0.428399,2.218239,0.011843,3.658710,0.011843
sz.300938,信测标准,2024-10-26,2024-09-30,0.464334,0.535666,0.535050,79.092786,0.256635,0.954255,0.256635
sz.300939,秋田微,2024-10-28,2024-09-30,0.840950,0.159050,0.806515,,0.076341,0.824048,0.076341
sz.300940,南极光,2024-10-30,2024-09-30,0.319567,0.680433,0.745675,,-0.128110,,-0.128110
