code(股票代码),stock_name(股票名称),pubDate(发布日期),statDate(统计截止日),roeAvg(平均净资产收益率),npMargin(净利率),gpMargin(毛利率),netProfit(净利润),epsTTM(每股收益(TTM)),MBRevenue(主营业务收入),totalShare(总股本),liqaShare(流通股本)
sh.600063,皖维高新,2023-10-19,2023-09-30,0.05198,0.060117,0.131377,402657627.93,0.222799,,2159249374.0,1925894692.0
sh.600064,南京高科,2023-10-31,2023-09-30,0.097821,0.396461,0.095636,1679261340.3,1.260758,,1730339644.0,1730339644.0
sh.600066,宇通客车,2023-10-27,2023-09-30,0.075622,0.056083,0.229695,1062802397.31,0.758311,,2213939223.0,2213939223.0
sh.600067,冠城新材,2023-10-28,2023-09-30,-0.019988,-0.020557,0.1084,-119784544.38,-0.069737,,1391668739.0,1391668739.0
sh.600070,*ST富润,2023-10-28,2023-09-30,-0.15093,-1.804787,0.193387,-172396204.35,-0.718007,,507420732.0,506720732.0
sh.600071,凤凰光学,2023-10-28,2023-09-30,-0.06869,-0.029441,0.117955,-38739419.29,-0.072314,,281573889.0,281573889.0
sh.600072,中船科技,2023-10-31,2023-09-30,0.01799,0.013836,0.172599,111319618.71,0.002213,,1506521728.0,736249883.0
sh.600073,光明肉业,2023-10-31,2023-09-30,0.064908,0.010278,0.100854,169038912.32,0.433579,,937729472.0,937729472.0
sh.600075,新疆天业,2023-10-28,2023-09-30,-0.07825,-0.090514,0.071911,-780842055.33,-0.576283,,1707361634.0,1268786386.0
sh.600076,康欣新材,2023-10-25,2023-09-30,-0.028916,-1.329829,0.01084,-132435842.77,-0.14049,,1344543367.0,1034264129.0
sh.600078,澄星股份,2023-10-28,2023-09-30,-0.059301,-0.015641,0.075361,-38000817.6,-0.158525,,662572861.0,662572861.0
sh.600079,人福医药,2023-10-27,2023-09-30,0.111319,0.126059,0.458567,2283150716.38,1.242176,,1632657707.0,1464351209.0
sh.600080,金花股份,2023-10-28,2023-09-30,0.002012,0.008417,0.769332,3390298.3,0.01345,,373270285.0,373270285.0
sh.600081,东风科技,2023-10-24,2023-09-30,0.014488,0.030728,0.115427,155565375.34,0.161541,,578343529.0,444627214.0
sh.600082,海泰发展,2023-10-28,2023-09-30,-0.020386,-0.094248,0.053341,-35469767.45,0.016011,,646115826.0,634335412.0
sh.600083,*ST博信,2023-10-28,2023-09-30,-0.194038,-0.074111,0.131927,-16998166.29,-0.020171,,230000000.0,227993326.0
sh.600084,中信尼雅,2023-10-27,2023-09-30,0.005988,0.04972,0.567881,8021106.39,-0.771439,,1123726830.0,1123726830.0
sh.600085,同仁堂,2023-10-31,2023-09-30,0.113023,0.158389,0.462844,2173313513.02,1.322402,,1371470262.0,1371470262.0
sh.600088,中视传媒,2023-10-28,2023-09-30,0.265877,0.683926,0.210537,308104064.95,0.785106,,397706400.0,397706400.0
sh.600089,特变电工,2023-10-28,2023-09-30,0.157061,0.172357,0.293123,12684594215.4,2.806522,,5052710023.0,5052710023.0
sh.600094,大名城,2023-10-24,2023-09-30,0.051096,0.063507,0.156045,649558985.89,0.314999,,2475325057.0,2276604962.0
sh.600095,湘财股份,2023-10-28,2023-09-30,0.012623,0.289175,0.013356,146812548.46,-0.022061,,2859187743.0,2859187743.0
sh.600096,云天化,2023-10-28,2023-09-30,0.214773,0.083612,0.141292,4456733438.29,2.505156,,1834328747.0,1744328747.0
sh.600097,开创国际,2023-10-28,2023-09-30,0.00782,0.016663,0.313856,20217603.2,0.325263,,240936559.0,240936559.0
sh.600098,广州发展,2023-10-31,2023-09-30,0.06177,0.051222,0.111865,1680913682.83,0.474745,,3507435237.0,3491029779.0
sh.600099,林海股份,2023-10-28,2023-09-30,0.023024,0.022025,0.158726,11624198.45,0.057935,,219120000.0,219120000.0
sh.600100,同方股份,2023-10-28,2023-09-30,-0.042272,-0.036908,0.16679,-667406161.09,-0.170002,,3350297713.0,2963898951.0
sh.600101,明星电力,2023-10-27,2023-09-30,0.067168,0.091589,0.13372,184308881.65,0.46386,,421432670.0,421432670.0
sh.600103,青山纸业,2023-10-24,2023-09-30,0.023565,0.05377,0.187414,102536253.25,0.053153,,2305817807.0,2305817807.0
sh.600104,上汽集团,2023-10-27,2023-09-30,0.04037,0.032936,0.09966,16730529492.72,1.273222,,11683461365.0,11683461365.0
sh.600105,永鼎股份,2023-10-27,2023-09-30,0.02861,0.033567,0.163113,98869851.64,0.16491,,1404585791.0,1381114991.0
sh.600106,重庆路桥,2023-10-31,2023-09-30,0.035814,1.903795,0.91907,165387313.61,0.172158,,1329025062.0,1329025062.0
sh.600107,美尔雅,2023-10-28,2023-09-30,-0.01888,-0.030706,0.3626,-9915079.21,-0.270666,,360000000.0,360000000.0
sh.600108,亚盛集团,2023-10-28,2023-09-30,0.011388,0.020587,0.183092,45739377.04,0.041277,,1946915121.0,1946915121.0
sh.600109,国金证券,2023-10-31,2023-09-30,0.039052,0.252899,,1271701193.99,0.432766,,3724359310.0,3211356772.0
sh.600110,诺德股份,2023-10-26,2023-09-30,0.005486,0.01469,0.10517,54126554.2,0.060935,,1746472532.0,1746472532.0
sh.600111,北方稀土,2023-10-24,2023-09-30,0.068134,0.062569,0.124447,1559425659.11,0.755925,,3615065842.0,3615065842.0
sh.600113,浙江东日,2023-10-30,2023-09-30,0.048412,0.17328,0.411452,91530593.69,0.349878,,421531660.0,411431160.0
sh.600114,东睦股份,2023-10-31,2023-09-30,0.04251,0.035054,0.203389,97508216.35,0.273849,,616383477.0,616383477.0
sh.600115,中国东航,2023-10-28,2023-09-30,-0.093978,-0.030045,0.053497,-2570000000.0,-0.532809,,22291296570.0,13480635753.0
sh.600116,三峡水利,2023-10-26,2023-09-30,0.030453,0.038744,0.108091,325098907.2,0.191179,,1912142904.0,1912142904.0
sh.600117,西宁特钢,2023-10-28,2023-09-30,,-0.430904,-0.049485,-1423522185.43,-1.532698,,1045118252.0,1045118252.0
sh.600118,中国卫星,2023-10-31,2023-09-30,0.026339,0.059461,0.150881,218399446.14,0.133143,,1182489135.0,1182489135.0
sh.600119,长江投资,2023-10-28,2023-09-30,-0.032148,-0.007826,0.066234,-4970091.63,-0.061508,,365270370.0,307400000.0
sh.600120,浙江东方,2023-10-28,2023-09-30,0.026616,0.023018,0.020007,273956234.91,0.308538,,3415381492.0,3415381492.0
sh.600121,郑州煤电,2023-10-28,2023-09-30,-0.061369,0.003611,0.291559,11306197.63,-0.070475,,1218412038.0,1218412038.0
sh.600123,兰花科创,2023-10-28,2023-09-30,0.112885,0.200791,0.435554,1928366463.46,1.524444,,1485120000.0,1485120000.0
sh.600125,铁龙物流,2023-10-31,2023-09-30,0.066551,0.042925,0.070344,457293000.0,0.308651,,1305521874.0,1305521874.0
sh.600126,杭钢股份,2023-10-28,2023-09-30,0.004248,0.002189,0.016955,86387187.89,0.020497,,3377189083.0,3377189083.0
sh.600127,金健米业,2023-10-31,2023-09-30,0.03303,0.006033,0.044579,22130038.97,0.02165,,641783218.0,641783218.0
sh.600128,苏豪弘业,2023-10-31,2023-09-30,0.010138,0.009933,0.051671,42598223.29,0.148711,,246767500.0,246767500.0
sh.600129,太极集团,2023-10-27,2023-09-30,0.220473,0.062977,0.489915,767236035.11,1.531787,,556890744.0,556890744.0
sh.600130,波导股份,2023-10-31,2023-09-30,0.014524,0.071655,0.142825,22364602.14,0.024728,,768000000.0,768000000.0
sh.600131,国网信通,2023-10-28,2023-09-30,0.059195,0.086934,0.205654,342445653.91,0.602932,,1202519044.0,1194314024.0
sh.600132,重庆啤酒,2023-10-31,2023-09-30,0.640518,0.207924,0.49194,2708970499.3,2.944959,,483971198.0,483971198.0
sh.600133,东湖高新,2023-10-31,2023-09-30,0.031879,0.030649,0.098437,330887543.63,0.562231,,910056182.0,910056182.0
