code,price,volume,amount,turnover,pe_ttm,pb,ps
sh.603871,19.64,12490861.0,246822954.77,1.7874,14.171835,2.970282,2.241803
sh.688506,106.88,744508.0,81991604.06,0.8231,-77.267403,102.920067,71.35544
sz.300641,4.39,5492130.0,24822202.9,1.1217,240.615228,1.435306,1.401833
sz.300979,53.0,2095613.0,111633703.22,1.4346,20.150501,4.330066,3.171264
sz.301004,53.76,1997236.0,109509843.9,7.6425,13.368736,4.903525,3.384905
