code(股票代码),stock_name(股票名称)
sh.603045,福达合金
sh.603052,可川科技
sh.603053,成都燃气
sh.603057,紫燕食品
sh.603058,永吉股份
sh.603060,国检集团
sh.603061,金海通
sh.603062,麦加芯彩
sh.603063,禾望电气
sh.603067,振华股份
sh.603068,博通集成
sh.603073,彩蝶实业
sh.603075,热威股份
sh.603077,和邦生物
sh.603078,江化微
sh.603079,圣达生物
sh.603087,甘李药业
sh.603091,众鑫股份
sh.603095,越剑智能
sh.603097,江苏华辰
sh.603099,长白山
sh.603105,芯能科技
sh.603111,康尼机电
sh.603112,华翔股份
sh.603115,海星股份
sh.603119,浙江荣泰
sh.603121,华培动力
sh.603125,常青科技
sh.603128,华贸物流
sh.603129,春风动力
sh.603130,云中马
sh.603131,上海沪工
sh.603136,天目湖
sh.603137,恒尚节能
sh.603138,海量数据
sh.603151,邦基科技
sh.603160,汇顶科技
sh.603162,海通发展
sh.603163,圣晖集成
sh.603165,荣晟环保
sh.603168,莎普爱思
sh.603170,宝立食品
sh.603172,万丰股份
sh.603176,汇通集团
sh.603181,皇马科技
sh.603182,嘉华股份
sh.603183,建研院
sh.603189,网达软件
sh.603190,亚通精工
sh.603191,望变电气
sh.603193,润本股份
sh.603194,中力股份
sh.603198,迎驾贡酒
sh.603199,九华旅游
sh.603200,上海洗霸
sh.603201,常润股份
sh.603203,快克智能
sh.603205,健尔康
sh.603207,小方制药
sh.603213,镇洋发展
sh.603217,元利科技
sh.603219,富佳股份
sh.603221,爱丽家居
sh.603223,恒通股份
sh.603230,内蒙新华
sh.603235,天新药业
sh.603239,浙江仙通
sh.603256,宏和科技
sh.603258,电魂网络
sh.603261,立航科技
sh.603270,金帝股份
sh.603272,联翔股份
sh.603273,天元智能
sh.603277,银都股份
sh.603285,键邦股份
sh.603289,泰瑞机器
sh.603290,斯达半导
sh.603297,永新光学
sh.603298,杭叉集团
sh.603301,振德医疗
sh.603305,旭升集团
sh.603306,华懋科技
sh.603309,维力医疗
sh.603310,巍华新材
sh.603311,金海高科
sh.603315,福鞍股份
sh.603317,天味食品
sh.603319,湘油泵
sh.603324,盛剑科技
sh.603327,福蓉科技
sh.603328,依顿电子
sh.603329,上海雅仕
sh.603330,天洋新材
sh.603336,宏辉果蔬
sh.603344,星德胜
sh.603350,安乃达
sh.603355,莱克电气
sh.603357,设计总院
sh.603360,百傲化学
sh.603365,水星家纺
sh.603367,辰欣药业
sh.603373,安邦护卫
sh.603385,惠达卫浴
sh.603387,基蛋生物
sh.603393,新天然气
sh.603439,贵州三力
sh.603488,展鹏科技
sh.603499,翔港科技
sh.603500,祥和实业
sh.603508,思维列控
sh.603530,神马电力
sh.603535,嘉诚国际
sh.603565,中谷物流
sh.603567,珍宝岛
sh.603568,伟明环保
sh.603569,长久物流
sh.603578,三星新材
sh.603579,荣泰健康
sh.603580,艾艾精工
sh.603585,苏利股份
sh.603586,金麒麟
sh.603587,地素时尚
sh.603590,康辰药业
sh.603596,伯特利
sh.603599,广信股份
sh.603600,永艺股份
sh.603602,纵横通信
sh.603606,东方电缆
sh.603607,京华激光
sh.603613,国联股份
sh.603615,茶花股份
sh.603617,君禾股份
sh.603628,清源股份
sh.603630,拉芳家化
sh.603638,艾迪精密
sh.603650,彤程新材
sh.603656,泰禾智能
sh.603658,安图生物
sh.603662,柯力传感
sh.603676,卫信康
sh.603677,奇精机械
sh.603681,永冠新材
sh.603686,福龙马
sh.603693,江苏新能
sh.603697,有友食品
sh.603698,航天工程
sh.603699,纽威股份
sh.603701,德宏股份
sh.603706,东方环宇
sh.603713,密尔克卫
sh.603717,天域生物
sh.603722,阿科力
sh.603726,朗迪集团
sh.603727,博迈科
sh.603728,鸣志电器
sh.603729,龙韵股份
sh.603738,泰晶科技
sh.603755,日辰股份
sh.603757,大元泵业
sh.603759,海天股份
sh.603766,隆鑫通用
sh.603773,沃格光电
sh.603776,永安行
sh.603786,科博达
sh.603788,宁波高发
sh.603790,雅运股份
sh.603798,康普顿
sh.603801,志邦家居
sh.603810,丰山集团
sh.603813,原尚股份
sh.603817,海峡环保
sh.603829,洛凯股份
sh.603833,欧派家居
sh.603836,海程邦达
sh.603839,安正时尚
sh.603848,好太太
sh.603855,华荣股份
sh.603856,东宏股份
sh.603859,能科科技
sh.603867,新化股份
sh.603868,飞科电器
sh.603869,ST智知
sh.603871,嘉友国际
sh.603888,新华网
sh.603890,春秋电子
sh.603893,瑞芯微
sh.603897,长城科技
sh.603899,晨光股份
sh.603900,莱绅通灵
sh.603903,中持股份
sh.603909,建发合诚
sh.603912,佳力图
sh.603915,国茂股份
sh.603916,苏博特
sh.603918,金桥信息
sh.603920,世运电路
sh.603922,金鸿顺
sh.603926,铁流股份
sh.603929,亚翔集成
sh.603937,丽岛新材
sh.603938,三孚股份
sh.603948,建业股份
sh.603950,长源东谷
sh.603956,威派格
